split,horizon,epsilon,region,landscape_count,endpoint_relative_residual_median,endpoint_relative_residual_q10,endpoint_relative_residual_q90,endpoint_relative_residual_positive_fraction,endpoint_quadratic_scale_median,endpoint_quadratic_scale_q10,endpoint_quadratic_scale_q90,max_path_relative_residual_median,max_path_relative_residual_q10,max_path_relative_residual_q90,max_path_relative_residual_positive_fraction,max_path_quadratic_scale_median,max_path_quadratic_scale_q10,max_path_quadratic_scale_q90
target,20,0.0001,confirmatory,12,-0.00042843485953808675,-0.0014856899812505059,-0.0001882273271597196,0.0,-28.077582359744028,-261.43232616263447,-7.628251427616982,-0.00042843485953808675,-0.0014856899812505059,-0.0001882273271597196,0.0,-28.077582359744028,-261.43232616263447,-7.628251427616982
target,20,0.0003,confirmatory,12,-0.0012846682297830356,-0.0044485812093872455,-0.0005646290538351354,0.0,-28.062989526441978,-261.01392178693186,-7.625765395769901,-0.0012846682297830356,-0.0044485812093872455,-0.0005646290538351354,0.0,-28.062989526441978,-261.01392178693186,-7.625765395769901
target,20,0.001,confirmatory,12,-0.004274815397093183,-0.014730194451269801,-0.0018814779143285236,0.0,-28.0120036610927,-259.5564755998979,-7.617070409414971,-0.004274815397093183,-0.014730194451269801,-0.0018814779143285236,0.0,-28.0120036610927,-259.5564755998979,-7.617070409414971
target,20,0.003,extended-local,12,-0.012761222136246971,-0.04336289460258128,-0.005639092455735647,0.0,-27.86708845562322,-255.45149797765222,-7.592279428384458,-0.012761222136246971,-0.04336289460258128,-0.005639092455735647,0.0,-27.86708845562322,-255.45149797765222,-7.592279428384458
target,20,0.01,extended-local,12,-0.04181154921599475,-0.135468986685959,-0.01873327251877964,0.0,-27.368572900323407,-241.75186560976536,-7.506122297114815,-0.04181154921599475,-0.135468986685959,-0.01873327251877964,0.0,-27.368572900323407,-241.75186560976536,-7.506122297114815
target,20,0.03,stress,12,-0.1195002809692636,-0.3414165865395317,-0.05561957038127293,0.0,-26.01478668642809,-207.78853168889057,-7.265341663864796,-0.1195002809692636,-0.3414165865395317,-0.05561957038127293,0.0,-26.01478668642809,-207.78853168889057,-7.265341663864796
target,20,0.1,stress,12,-0.3386782523705191,-0.6907583952806211,-0.17748855417872536,0.0,-21.974907644789425,-131.89782716932575,-6.488488925953888,-0.3386782523705191,-0.6907583952806211,-0.17748855417872536,0.0,-21.974907644789425,-131.89782716932575,-6.488488925953888
target,50,0.0001,confirmatory,12,-0.001093841469325595,-0.004086914760559667,-0.0002246788233126894,0.0,-180.4721888487245,-1487.0370529300633,-13.625170912463181,-0.001093841469325595,-0.004086914760559667,-0.0002246788233126894,0.0,-180.4721888487245,-1487.0370529300633,-13.625170912463181
target,50,0.0003,confirmatory,12,-0.003276990171866544,-0.012193359296052527,-0.0006740951497584349,0.0,-180.2109323303126,-1481.6796384948093,-13.630764641588673,-0.003276990171866544,-0.012193359296052527,-0.0006740951497584349,0.0,-180.2109323303126,-1481.6796384948093,-13.630764641588673
target,50,0.001,confirmatory,12,-0.010870680804692733,-0.03987374504613309,-0.002247670463671099,0.0,-179.301665508177,-1463.1253629469231,-13.65032586185628,-0.010870680804692733,-0.03987374504613309,-0.002247670463671099,0.0,-179.301665508177,-1463.1253629469231,-13.65032586185628
target,50,0.003,extended-local,12,-0.032168069122736426,-0.11338817974958906,-0.006748945989635682,0.0,-176.74686930384226,-1411.7624630194357,-13.706063548632846,-0.032168069122736426,-0.11338817974958906,-0.006748945989635682,0.0,-176.74686930384226,-1411.7624630194357,-13.706063548632846
target,50,0.01,extended-local,12,-0.10230486940077098,-0.3174148768114168,-0.02256724414689782,0.0,-168.27648966116985,-1249.8918775019426,-13.899116180988473,-0.10230486940077098,-0.3174148768114168,-0.02256724414689782,0.0,-168.27648966116985,-1249.8918775019426,-13.899116180988473
target,50,0.03,stress,12,-0.2703127008991409,-0.6309260148781397,-0.055786181601024935,0.0,-147.46018930400342,-910.8119154166524,-14.426582211437701,-0.2703127008991409,-0.6285153081758923,-0.055786181601024935,0.0,-147.46018930400342,-910.5013249478507,-14.426582211437701
target,50,0.1,stress,12,-0.5818856415014724,-0.8843462756121891,-0.20010237416814664,0.0,-95.23044118565863,-424.9284605795231,-15.754900988746897,-0.5818856415014724,-0.8623809929501696,-0.20010237416814664,0.0,-95.23044118565863,-424.9284605795231,-15.754900988746897
