landscape_id,split,stratum,horizon,region,epsilon_count,epsilon_minimum,epsilon_maximum,endpoint_residual_sign,endpoint_quadratic_scale_minimum,endpoint_quadratic_scale_median,endpoint_quadratic_scale_maximum,endpoint_quadratic_scale_relative_range,endpoint_relative_residual_median,max_path_residual_sign,max_path_quadratic_scale_minimum,max_path_quadratic_scale_median,max_path_quadratic_scale_maximum,max_path_quadratic_scale_relative_range,max_path_relative_residual_median
S06,source,regular-sensitivity,1,extended-local,2,0.003,0.01,numerical-zero,2.0383000842727483e-13,1.9872221152578756e-12,3.770614222088476e-12,1.783392106830601,2.8607448751153237e-14,numerical-zero,2.0383000842727483e-13,1.9872221152578756e-12,3.770614222088476e-12,1.783392106830601,2.8607448751153237e-14
S06,source,regular-sensitivity,1,stress,2,0.03,0.1,numerical-zero,-1.7347234759768067e-15,2.5057116875220553e-15,6.746146851020917e-15,0.004240435163498862,6.195440985631455e-17,numerical-zero,-1.7347234759768067e-15,2.5057116875220553e-15,6.746146851020917e-15,0.004240435163498862,6.195440985631455e-17
S06,source,regular-sensitivity,5,confirmatory,3,0.0001,0.001,negative,-1.2999236644422565,-1.2997710190207261,-1.2992368986950669,0.0005283744114459828,-0.00033422683346247235,negative,-1.2999236644422565,-1.2997710190207261,-1.2992368986950669,0.0005283744114459828,-0.00033422683346247235
S06,source,regular-sensitivity,5,extended-local,2,0.003,0.01,negative,-1.2977120887137348,-1.295050971584028,-1.292389854454321,0.004109671647057922,-0.007207300633150464,negative,-1.2977120887137348,-1.295050971584028,-1.292389854454321,0.004109671647057922,-0.007207300633150464
S06,source,regular-sensitivity,5,stress,2,0.03,0.1,negative,-1.2773081703299247,-1.2516338134982883,-1.2259594566666516,0.04102534871581537,-0.06896365318995554,negative,-1.2773081703299247,-1.2516338134982883,-1.2259594566666516,0.04102534871581537,-0.06896365318995554
S06,source,regular-sensitivity,20,confirmatory,3,0.0001,0.001,negative,-24.691300265120788,-24.673914234485995,-24.613204522700578,0.0031651136369379895,-0.0015861802007883842,negative,-24.691300265120788,-24.673914234485995,-24.613204522700578,0.0031651136369379895,-0.0015861802007883842
S06,source,regular-sensitivity,20,extended-local,2,0.003,0.01,negative,-24.44095269439424,-24.146404452525985,-23.85185621065773,0.02439686144140958,-0.03341158073461713,negative,-24.44095269439424,-24.146404452525985,-23.85185621065773,0.02439686144140958,-0.03341158073461713
S06,source,regular-sensitivity,20,stress,2,0.03,0.1,negative,-22.280334744650997,-17.98298604917305,-13.6856373536951,0.4779349418085727,-0.21824719046882557,negative,-22.280334744650997,-17.98298604917305,-13.6856373536951,0.4779349418085727,-0.21824719046882557
S06,source,regular-sensitivity,50,confirmatory,3,0.0001,0.001,negative,-159.10049355372274,-158.80212077481295,-157.76449936861886,0.00841294926406161,-0.004083483105638046,negative,-159.10049355372274,-158.80212077481295,-157.76449936861886,0.00841294926406161,-0.004083483105638046
S06,source,regular-sensitivity,50,extended-local,2,0.003,0.01,negative,-154.85621358097725,-150.07791862021364,-145.29962365945002,0.06367752171264507,-0.08218135188588993,negative,-154.85621358097725,-150.07791862021364,-145.29962365945002,0.06367752171264507,-0.08218135188588993
S06,source,regular-sensitivity,50,stress,2,0.03,0.1,negative,-100.47403703207459,-79.49433318837293,-58.51462934467128,0.5278289156533288,-0.3799578876612585,negative,-100.47403703207459,-79.49433318837293,-58.51462934467128,0.5278289156533288,-0.3799578876612585
S07,source,regular-sensitivity,1,confirmatory,3,0.0001,0.001,numerical-zero,-5.407458335271454e-10,-1.4203048459560108e-11,2.0782800393831513e-09,184.39885496183206,-4.2674887751520686e-14,numerical-zero,-5.407458335271454e-10,-1.4203048459560108e-11,2.0782800393831513e-09,184.39885496183206,-4.2674887751520686e-14
S07,source,regular-sensitivity,1,extended-local,2,0.003,0.01,numerical-zero,-4.74639617732543e-12,-2.2517674453443387e-12,2.42861286636753e-13,2.215707254440402,-1.7743197604576284e-14,numerical-zero,-4.74639617732543e-12,-2.2517674453443387e-12,2.42861286636753e-13,2.215707254440402,-1.7743197604576284e-14
S07,source,regular-sensitivity,1,stress,2,0.03,0.1,numerical-zero,-6.938893903907227e-16,9.290407949120234e-15,1.927470528863119e-14,0.009984297339510957,7.644560045056123e-16,numerical-zero,-6.938893903907227e-16,9.290407949120234e-15,1.927470528863119e-14,0.009984297339510957,7.644560045056123e-16
S07,source,regular-sensitivity,5,confirmatory,3,0.0001,0.001,negative,-3.3619279344308026,-3.3612471670989494,-3.3588654708481633,0.0009111093086565424,-0.0006046426161123796,negative,-3.3619279344308026,-3.3612471670989494,-3.3588654708481633,0.0009111093086565424,-0.0006046426161123796
S07,source,regular-sensitivity,5,extended-local,2,0.003,0.01,negative,-3.3520701298478817,-3.340233603930102,-3.3283970780123227,0.007087244379466579,-0.01299384783011428,negative,-3.3520701298478817,-3.340233603930102,-3.3283970780123227,0.007087244379466579,-0.01299384783011428
S07,source,regular-sensitivity,5,stress,2,0.03,0.1,negative,-3.261701662898043,-3.1503538809138423,-3.0390060989296415,0.07068906300259924,-0.1204494257243563,negative,-3.261701662898043,-3.1503538809138423,-3.0390060989296415,0.07068906300259924,-0.1204494257243563
S07,source,regular-sensitivity,20,confirmatory,3,0.0001,0.001,negative,-65.30863703776285,-65.22719156698632,-64.94329321135237,0.005601096990896562,-0.0029363151508238292,negative,-65.30863703776285,-65.22719156698632,-64.94329321135237,0.005601096990896562,-0.0029363151508238292
S07,source,regular-sensitivity,20,extended-local,2,0.003,0.01,negative,-64.14200186732772,-62.79522719041833,-61.44845251350894,0.042894173241080004,-0.06054079492112123,negative,-64.14200186732772,-62.79522719041833,-61.44845251350894,0.042894173241080004,-0.06054079492112123
S07,source,regular-sensitivity,20,stress,2,0.03,0.1,negative,-54.61215770523396,-46.30568523425904,-37.99921276328411,0.3587668524481491,-0.40802312692689224,negative,-54.61215770523396,-46.30568523425904,-37.99921276328411,0.3587668524481491,-0.40802312692689224
S07,source,regular-sensitivity,50,confirmatory,3,0.0001,0.001,negative,-421.1213258968919,-419.64964391573403,-414.5606644017537,0.01563366391526262,-0.007939137839410528,negative,-421.1213258968919,-419.64964391573403,-414.5606644017537,0.01563366391526262,-0.007939137839410528
S07,source,regular-sensitivity,50,extended-local,2,0.003,0.01,negative,-400.53412787424304,-378.6787512848616,-356.8233746954802,0.1154296432806217,-0.15039683325161107,negative,-400.53412787424304,-378.6787512848616,-356.8233746954802,0.1154296432806217,-0.15039683325161107
S07,source,regular-sensitivity,50,stress,2,0.03,0.1,negative,-266.2801198391096,-198.23598774956935,-130.19185566002906,0.6864962599576029,-0.6623864630983078,negative,-266.2801198391096,-197.28953273492823,-128.29894563074686,0.6993841604042407,-0.6564179630022723
S08,source,regular-sensitivity,1,confirmatory,3,0.0001,0.001,numerical-zero,3.165870343657673e-11,2.4454782334950825e-10,3.507394027990607e-09,14.212906403940885,6.903912528705901e-14,numerical-zero,3.165870343657673e-11,2.4454782334950825e-10,3.507394027990607e-09,14.212906403940885,6.903912528705901e-14
S08,source,regular-sensitivity,1,extended-local,2,0.003,0.01,numerical-zero,-4.5102810375396984e-13,1.1959954631595652e-12,2.8430190300731003e-12,1.6470235669135351,1.8909238255962965e-15,numerical-zero,-4.5102810375396984e-13,1.1959954631595652e-12,2.8430190300731003e-12,1.6470235669135351,1.8909238255962965e-15
S08,source,regular-sensitivity,1,stress,2,0.03,0.1,numerical-zero,4.163336342344336e-15,2.906625557525583e-14,5.3969174808167335e-14,0.024902919232911498,9.577053044746709e-16,numerical-zero,4.163336342344336e-15,2.906625557525583e-14,5.3969174808167335e-14,0.024902919232911498,9.577053044746709e-16
S08,source,regular-sensitivity,5,confirmatory,3,0.0001,0.001,negative,-16.338555543682528,-16.33289749465564,-16.313113350226345,0.0015577268800289505,-0.000983476509200268,negative,-16.338555543682528,-16.33289749465564,-16.313113350226345,0.0015577268800289505,-0.000983476509200268
S08,source,regular-sensitivity,5,extended-local,2,0.003,0.01,negative,-16.256749818321424,-16.159054334390518,-16.061358850459616,0.012091732834016608,-0.021013222557602365,negative,-16.256749818321424,-16.159054334390518,-16.061358850459616,0.012091732834016608,-0.021013222557602365
S08,source,regular-sensitivity,5,stress,2,0.03,0.1,negative,-15.518839293472697,-14.654351888308868,-13.78986448314504,0.11798371047081377,-0.18511444931637203,negative,-15.518839293472697,-14.654351888308868,-13.78986448314504,0.11798371047081377,-0.18511444931637203
S08,source,regular-sensitivity,20,confirmatory,3,0.0001,0.001,negative,-187.1740891836891,-186.76222521467182,-185.3329743943359,0.009858068392775548,-0.004446151220823567,negative,-187.1740891836891,-186.76222521467182,-185.3329743943359,0.009858068392775548,-0.004446151220823567
S08,source,regular-sensitivity,20,extended-local,2,0.003,0.01,negative,-181.35188823821457,-174.93433091120767,-168.5167735842008,0.07337104493530527,-0.08844993799362438,negative,-181.35188823821457,-174.93433091120767,-168.5167735842008,0.07337104493530527,-0.08844993799362438
S08,source,regular-sensitivity,20,stress,2,0.03,0.1,negative,-139.30427196750412,-111.4689479615037,-83.63362395550328,0.4994274103244156,-0.4976542555406506,negative,-139.30427196750412,-111.29971038719546,-83.2951488068868,0.5032279326313586,-0.4963112718854443
S08,source,regular-sensitivity,50,confirmatory,3,0.0001,0.001,negative,-379.74455490102747,-379.08998768840866,-376.8154124404524,0.007726773472536712,-0.004088588277451046,negative,-379.74455490102747,-379.08998768840866,-376.8154124404524,0.007726773472536712,-0.004088588277451046
S08,source,regular-sensitivity,50,extended-local,2,0.003,0.01,negative,-370.45094962231036,-359.9944317661145,-349.5379139099186,0.05809266440537283,-0.0828080887346744,negative,-370.45094962231036,-359.9944317661145,-349.5379139099186,0.05809266440537283,-0.0828080887346744
