landscape_id,split,stratum,horizon,epsilon,region,p0_id,reward_id,mutation_id,clean_terminal,clean_boundary_min_probability,clean_boundary_pressure,C_endpoint_l1,endpoint_l1,endpoint_prediction,endpoint_residual,endpoint_residual_over_epsilon_squared,endpoint_relative_residual,C_max_path_l1,max_path_l1,max_path_prediction,max_path_residual,max_path_residual_over_epsilon_squared,max_path_relative_residual
S02,source,regular-sensitivity,1,0.0003,confirmatory,balanced,dominant_b,forward_cycle,"[0.32224807772203845,0.34734609562962415,0.3304058266483374]",0.32224807772203845,1.1324336023566182,0.01254900895379285,3.764702686093191e-06,3.764702686137855e-06,-4.4664047308719257e-17,-4.96267192319103e-10,-1.1863897638763966e-11,0.01254900895379285,3.764702686093191e-06,3.764702686137855e-06,-4.4664047308719257e-17,-4.96267192319103e-10,-1.1863897638763966e-11
S02,source,regular-sensitivity,1,0.001,confirmatory,balanced,dominant_b,forward_cycle,"[0.32224807772203845,0.34734609562962415,0.3304058266483374]",0.32224807772203845,1.1324336023566182,0.01254900895379285,1.2549008953866014e-05,1.2549008953792851e-05,7.316331785203745e-17,7.316331785203745e-11,5.830206841148547e-12,0.01254900895379285,1.2549008953866014e-05,1.2549008953792851e-05,7.316331785203745e-17,7.316331785203745e-11,5.830206841148547e-12
S02,source,regular-sensitivity,1,0.003,extended-local,balanced,dominant_b,forward_cycle,"[0.32224807772203845,0.34734609562962415,0.3304058266483374]",0.32224807772203845,1.1324336023566182,0.01254900895379285,3.7647026861376e-05,3.764702686137855e-05,-2.55465136891897e-18,-2.8385015210210775e-13,-6.785798459797481e-14,0.01254900895379285,3.7647026861376e-05,3.764702686137855e-05,-2.55465136891897e-18,-2.8385015210210775e-13,-6.785798459797481e-14
S02,source,regular-sensitivity,1,0.01,extended-local,balanced,dominant_b,forward_cycle,"[0.32224807772203845,0.34734609562962415,0.3304058266483374]",0.32224807772203845,1.1324336023566182,0.01254900895379285,0.000125490089537994,0.0001254900895379285,6.55129162724366e-17,6.551291627243661e-13,5.22056494769141e-13,0.01254900895379285,0.000125490089537994,0.0001254900895379285,6.55129162724366e-17,6.551291627243661e-13,5.22056494769141e-13
S02,source,regular-sensitivity,1,0.03,stress,balanced,dominant_b,forward_cycle,"[0.32224807772203845,0.34734609562962415,0.3304058266483374]",0.32224807772203845,1.1324336023566182,0.01254900895379285,0.000376470268613871,0.0003764702686137855,8.548934130048202e-17,9.498815700053558e-14,2.2708125562017246e-13,0.01254900895379285,0.000376470268613871,0.0003764702686137855,8.548934130048202e-17,9.498815700053558e-14,2.2708125562017246e-13
S02,source,regular-sensitivity,1,0.1,stress,balanced,dominant_b,forward_cycle,"[0.32224807772203845,0.34734609562962415,0.3304058266483374]",0.32224807772203845,1.1324336023566182,0.01254900895379285,0.0012549008953793295,0.0012549008953792852,4.423544863740858e-17,4.423544863740857e-15,3.525015306012569e-14,0.01254900895379285,0.0012549008953793295,0.0012549008953792852,4.423544863740858e-17,4.423544863740857e-15,3.525015306012569e-14
S02,source,regular-sensitivity,5,0.0001,confirmatory,balanced,dominant_b,forward_cycle,"[0.27869593630004535,0.4055001946055472,0.3158038690944073]",0.27869593630004535,1.2776339255117486,0.19365382852136104,1.936452447759418e-05,1.9365382852136104e-05,-8.583745419234743e-10,-0.08583745419234742,-4.432520381742884e-05,0.19365382852136104,1.936452447759418e-05,1.9365382852136104e-05,-8.583745419234743e-10,-0.08583745419234742,-4.432520381742884e-05
S02,source,regular-sensitivity,5,0.0003,confirmatory,balanced,dominant_b,forward_cycle,"[0.27869593630004535,0.4055001946055472,0.3158038690944073]",0.27869593630004535,1.2776339255117486,0.19365382852136104,5.808842340254694e-05,5.8096148556408305e-05,-7.725153861364768e-09,-0.085835042904053,-0.00013297187599043764,0.19365382852136104,5.808842340254694e-05,5.8096148556408305e-05,-7.725153861364768e-09,-0.085835042904053,-0.00013297187599043764
S02,source,regular-sensitivity,5,0.001,confirmatory,balanced,dominant_b,forward_cycle,"[0.27869593630004535,0.4055001946055472,0.3158038690944073]",0.27869593630004535,1.2776339255117486,0.19365382852136104,0.000193568001915001,0.00019365382852136104,-8.582660636003076e-08,-0.08582660636003077,-0.00044319602155742374,0.19365382852136104,0.000193568001915001,0.00019365382852136104,-8.582660636003076e-08,-0.08582660636003077,-0.00044319602155742374
S02,source,regular-sensitivity,5,0.003,extended-local,balanced,dominant_b,forward_cycle,"[0.27869593630004535,0.4055001946055472,0.3158038690944073]",0.27869593630004535,1.2776339255117486,0.19365382852136104,0.0005801892631503436,0.0005809614855640831,-7.722224137395647e-07,-0.08580249041550718,-0.0013292144710587437,0.19365382852136104,0.0005801892631503436,0.0005809614855640831,-7.722224137395647e-07,-0.08580249041550718,-0.0013292144710587437
S02,source,regular-sensitivity,5,0.01,extended-local,balanced,dominant_b,forward_cycle,"[0.27869593630004535,0.4055001946055472,0.3158038690944073]",0.27869593630004535,1.2776339255117486,0.19365382852136104,0.0019279664841983513,0.0019365382852136103,-8.571801015259083e-06,-0.08571801015259083,-0.004426352466516596,0.19365382852136104,0.0019279664841983513,0.0019365382852136103,-8.571801015259083e-06,-0.08571801015259083,-0.004426352466516596
S02,source,regular-sensitivity,5,0.03,stress,balanced,dominant_b,forward_cycle,"[0.27869593630004535,0.4055001946055472,0.3158038690944073]",0.27869593630004535,1.2776339255117486,0.19365382852136104,0.005732686452288638,0.005809614855640831,-7.69284033521932e-05,-0.08547600372465912,-0.013241566827360296,0.19365382852136104,0.005732686452288638,0.005809614855640831,-7.69284033521932e-05,-0.08547600372465912,-0.013241566827360296
S02,source,regular-sensitivity,5,0.1,stress,balanced,dominant_b,forward_cycle,"[0.27869593630004535,0.4055001946055472,0.3158038690944073]",0.27869593630004535,1.2776339255117486,0.19365382852136104,0.018519165280077354,0.019365382852136105,-0.0008462175720587509,-0.08462175720587507,-0.043697435703699945,0.19365382852136104,0.018519165280077354,0.019365382852136105,-0.0008462175720587509,-0.08462175720587507,-0.043697435703699945
S02,source,regular-sensitivity,20,0.0001,confirmatory,balanced,dominant_b,forward_cycle,"[0.14024438316608837,0.6285317192117627,0.2312238976221491]",0.14024438316608837,1.9643687841079458,2.5537390387812984,0.00025532779167614095,0.0002553739038781298,-4.611220198887621e-08,-4.6112201988876205,-0.0001805674005394145,2.5537390387812984,0.00025532779167614095,0.0002553739038781298,-4.611220198887621e-08,-4.6112201988876205,-0.0001805674005394145
S02,source,regular-sensitivity,20,0.0003,confirmatory,balanced,dominant_b,forward_cycle,"[0.14024438316608837,0.6285317192117627,0.2312238976221491]",0.14024438316608837,1.9643687841079458,2.5537390387812984,0.0007657067435715703,0.0007661217116343895,-4.1496806281915606e-07,-4.610756253546179,-0.0005416476997289279,2.5537390387812984,0.0007657067435715703,0.0007661217116343895,-4.1496806281915606e-07,-4.610756253546179,-0.0005416476997289279
S02,source,regular-sensitivity,20,0.001,confirmatory,balanced,dominant_b,forward_cycle,"[0.14024438316608837,0.6285317192117627,0.2312238976221491]",0.14024438316608837,1.9643687841079458,2.5537390387812984,0.002549129909655251,0.0025537390387812982,-4.609129126047131e-06,-4.609129126047131,-0.0018048551774682159,2.5537390387812984,0.002549129909655251,0.0025537390387812982,-4.609129126047131e-06,-4.609129126047131,-0.0018048551774682159
S02,source,regular-sensitivity,20,0.003,extended-local,balanced,dominant_b,forward_cycle,"[0.14024438316608837,0.6285317192117627,0.2312238976221491]",0.14024438316608837,1.9643687841079458,2.5537390387812984,0.0076197770475041615,0.007661217116343895,-4.144006883973362e-05,-4.604452093303736,-0.005409071197229005,2.5537390387812984,0.0076197770475041615,0.007661217116343895,-4.144006883973362e-05,-4.604452093303736,-0.005409071197229005
S02,source,regular-sensitivity,20,0.01,extended-local,balanced,dominant_b,forward_cycle,"[0.14024438316608837,0.6285317192117627,0.2312238976221491]",0.14024438316608837,1.9643687841079458,2.5537390387812984,0.0250786143260191,0.025537390387812983,-0.00045877606179388353,-4.5877606179388355,-0.017964876396016634,2.5537390387812984,0.0250786143260191,0.025537390387812983,-0.00045877606179388353,-4.5877606179388355,-0.017964876396016634
