landscape_id,split,stratum,horizon,region,epsilon_count,kl_residual_sign,kl_quadratic_error_minimum,kl_quadratic_error_median,kl_quadratic_error_maximum,stable_cubic_count,kl_cubic_scale_minimum,kl_cubic_scale_median,kl_cubic_scale_maximum
S09,source,regular-sensitivity,20,confirmatory,3,negative,-12.236197692638324,-3.869437861144662,-1.3103484320494254,3,-13103.484320494254,-12898.12620381554,-12236.197692638323
S09,source,regular-sensitivity,20,extended-local,2,negative,-76.41780212855001,-54.28686451294705,-32.15592689734408,2,-10718.642299114696,-9180.211255984848,-7641.780212855
S09,source,regular-sensitivity,20,stress,2,negative,-184.8273796912344,-158.18986264567053,-131.55234560010666,2,-4385.078186670222,-3116.675991791283,-1848.2737969123439
S09,source,regular-sensitivity,50,confirmatory,3,negative,-822.6572077415545,-338.0057571735613,-127.03121920722592,3,-1270312.192072259,-1126685.8572452043,-822657.2077415545
S09,source,regular-sensitivity,50,extended-local,2,negative,-2089.3687473713157,-1770.315240440665,-1451.2617335100147,2,-483753.91117000487,-346345.3929535682,-208936.87473713153
S09,source,regular-sensitivity,50,stress,2,negative,-2693.2492453725354,-2582.872749928138,-2472.496254483741,2,-82416.5418161247,-54674.51713492503,-26932.492453725354
S10,source,regular-sensitivity,1,confirmatory,3,negative,-0.2887414397162176,-0.09024712435093454,-0.03045025376299783,3,-304.50253762997824,-300.8237478364485,-288.74143971621754
S10,source,regular-sensitivity,1,extended-local,2,negative,-1.9530590371698122,-1.3661387989523763,-0.7792185607349404,2,-259.73952024498016,-227.5227119809807,-195.30590371698122
S10,source,regular-sensitivity,1,stress,2,negative,-5.296733139669668,-4.429560212248463,-3.5623872848272575,2,-118.74624282757527,-85.85678711213598,-52.967331396696686
S10,source,regular-sensitivity,5,confirmatory,3,negative,-31.2006275477582,-11.210165804845438,-3.9707988198289974,3,-39707.98819828997,-37367.219349484796,-31200.627547758195
S10,source,regular-sensitivity,5,extended-local,2,negative,-111.11963992004956,-88.15906728474823,-65.1984946494469,2,-21732.831549815633,-16422.397770910295,-11111.963992004954
S10,source,regular-sensitivity,5,stress,2,negative,-172.8045219976435,-159.68901606112803,-146.5735101246126,2,-4885.78367082042,-3306.9144453984272,-1728.0452199764347
S10,source,regular-sensitivity,20,confirmatory,3,negative,-1442.2743512978666,-727.5179340106021,-308.6507014310646,3,-3086507.014310646,-2425059.7800353407,-1442274.3512978666
