landscape_id,split,stratum,horizon,epsilon,region,p0_id,reward_id,mutation_id,clean_terminal,clean_boundary_min_probability,clean_boundary_pressure,K_kl_q_p,kl_q_p,kl_prediction,kl_residual,kl_over_epsilon_squared,kl_over_epsilon_squared_minus_k,kl_relative_residual,kl_residual_over_epsilon_cubed,cubic_normalization_numerically_stable
T02,target,regular-sensitivity,1,0.01,extended-local,target_b,weak,forward_cycle,"[0.6020975887574047,0.09984910241757357,0.2980533088250218]",0.09984910241757357,2.3040952084689437,0.08786523041718926,8.754067020109329e-06,8.786523041718927e-06,-3.245602160959747e-08,0.08754067020109328,-0.00032456021609597466,-0.0036938412902913216,-0.032456021609597464,True
T02,target,regular-sensitivity,1,0.03,stress,target_b,weak,forward_cycle,"[0.6020975887574047,0.09984910241757357,0.2980533088250218]",0.09984910241757357,2.3040952084689437,0.08786523041718926,7.821331793812542e-05,7.907870737547032e-05,-8.653894373449066e-07,0.08690368659791713,-0.0009615438192721185,-0.010943393816947299,-0.03205146064240395,True
T02,target,regular-sensitivity,1,0.1,stress,target_b,weak,forward_cycle,"[0.6020975887574047,0.09984910241757357,0.2980533088250218]",0.09984910241757357,2.3040952084689437,0.08786523041718926,0.0008479284874919456,0.0008786523041718927,-3.0723816679947055e-05,0.08479284874919454,-0.003072381667994705,-0.034966979013278145,-0.030723816679947048,True
T02,target,regular-sensitivity,5,0.0001,confirmatory,target_b,weak,forward_cycle,"[0.6104386110105052,0.09922780466722557,0.29033358432226913]",0.09922780466722557,2.3103370149808002,2.234738971442361,2.2339554658032683e-08,2.234738971442361e-08,-7.835056390926783e-12,2.2339554658032683,-0.0007835056390926783,-0.00035060275455212677,-7.835056390926782,True
T02,target,regular-sensitivity,5,0.0003,confirmatory,target_b,weak,forward_cycle,"[0.6104386110105052,0.09922780466722557,0.29033358432226913]",0.09922780466722557,2.3103370149808002,2.234738971442361,2.0091510641904542e-07,2.0112650742981245e-07,-2.1140101076703266e-10,2.2323900713227274,-0.0023489001196336967,-0.0010510847797663156,-7.829667065445656,True
T02,target,regular-sensitivity,5,0.001,confirmatory,target_b,weak,forward_cycle,"[0.6104386110105052,0.09922780466722557,0.29033358432226913]",0.09922780466722557,2.3103370149808002,2.234738971442361,2.2269276585345718e-06,2.234738971442361e-06,-7.811312907789042e-09,2.226927658534572,-0.007811312907789043,-0.003495402822257765,-7.811312907789041,True
T02,target,regular-sensitivity,5,0.003,extended-local,target_b,weak,forward_cycle,"[0.6104386110105052,0.09922780466722557,0.29033358432226913]",0.09922780466722557,2.3103370149808002,2.234738971442361,1.9903145692775053e-05,2.011265074298125e-05,-2.0950505020619637e-07,2.2114606325305615,-0.023278338911799597,-0.010416580732368544,-7.759446303933199,True
T02,target,regular-sensitivity,5,0.01,extended-local,target_b,weak,forward_cycle,"[0.6104386110105052,0.09922780466722557,0.29033358432226913]",0.09922780466722557,2.3103370149808002,2.234738971442361,0.0002158896372809905,0.0002234738971442361,-7.584259863245601e-06,2.1588963728099047,-0.075842598632456,-0.03393801226973061,-7.5842598632456,True
T02,target,regular-sensitivity,5,0.03,stress,target_b,weak,forward_cycle,"[0.6104386110105052,0.09922780466722557,0.29033358432226913]",0.09922780466722557,2.3103370149808002,2.234738971442361,0.0018187071204680844,0.002011265074298125,-0.00019255795383004044,2.020785689408983,-0.21395328203337827,-0.09573971938892131,-7.131776067779277,True
T02,target,regular-sensitivity,5,0.1,stress,target_b,weak,forward_cycle,"[0.6104386110105052,0.09922780466722557,0.29033358432226913]",0.09922780466722557,2.3103370149808002,2.234738971442361,0.016406245042481452,0.022347389714423613,-0.0059411446719421605,1.6406245042481449,-0.5941144671942159,-0.2658540772709389,-5.941144671942159,True
T02,target,regular-sensitivity,20,0.0001,confirmatory,target_b,weak,forward_cycle,"[0.6409551306699698,0.09666003091871943,0.2623848384113107]",0.09666003091871943,2.3365552926943685,38.06860996037062,3.8009275369055827e-07,3.8068609960370626e-07,-5.933459131479897e-10,38.00927536905583,-0.059334591314798964,-0.0015586224812664871,-593.3459131479896,True
T02,target,regular-sensitivity,20,0.0003,confirmatory,target_b,weak,forward_cycle,"[0.6409551306699698,0.09666003091871943,0.2623848384113107]",0.09666003091871943,2.3365552926943685,38.06860996037062,3.4102009922360073e-06,3.4261748964333555e-06,-1.5973904197348225e-08,37.89112213595564,-0.17748782441498032,-0.00466231429515669,-591.6260813832678,True
T02,target,regular-sensitivity,20,0.001,confirmatory,target_b,weak,forward_cycle,"[0.6409551306699698,0.09666003091871943,0.2623848384113107]",0.09666003091871943,2.3365552926943685,38.06860996037062,3.748291249935584e-05,3.806860996037062e-05,-5.8569746101478e-07,37.48291249935584,-0.58569746101478,-0.015385312508770099,-585.6974610147801,True
T02,target,regular-sensitivity,20,0.003,extended-local,target_b,weak,forward_cycle,"[0.6409551306699698,0.09666003091871943,0.2623848384113107]",0.09666003091871943,2.3365552926943685,38.06860996037062,0.00032724099107274765,0.0003426174896433356,-1.537649857058797e-05,36.36011011919418,-1.708499841176441,-0.04487949108084028,-569.4999470588136,True
T02,target,regular-sensitivity,20,0.01,extended-local,target_b,weak,forward_cycle,"[0.6409551306699698,0.09666003091871943,0.2623848384113107]",0.09666003091871943,2.3365552926943685,38.06860996037062,0.0032867572226753855,0.0038068609960370623,-0.0005201037733616768,32.86757222675385,-5.201037733616769,-0.13662273823580745,-520.1037733616768,True
T02,target,regular-sensitivity,20,0.03,stress,target_b,weak,forward_cycle,"[0.6409551306699698,0.09666003091871943,0.2623848384113107]",0.09666003091871943,2.3365552926943685,38.06860996037062,0.022925162899779864,0.03426174896433356,-0.011336586064553695,25.47240322197763,-12.596206738392995,-0.33088170940587613,-419.8735579464332,True
T02,target,regular-sensitivity,20,0.1,stress,target_b,weak,forward_cycle,"[0.6409551306699698,0.09666003091871943,0.2623848384113107]",0.09666003091871943,2.3365552926943685,38.06860996037062,0.1265601508484957,0.3806860996037063,-0.2541259487552106,12.656015084849567,-25.412594875521055,-0.6675472233416333,-254.12594875521054,True
T02,target,regular-sensitivity,50,0.0001,confirmatory,target_b,weak,forward_cycle,"[0.6978048300341113,0.09057515801026235,0.21162001195562632]",0.09057515801026235,2.401575297678506,267.3030084087437,2.6620013557113154e-06,2.6730300840874375e-06,-1.102872837612202e-08,266.2001355711315,-1.1028728376122021,-0.004125927516407728,-11028.728376122019,True
T02,target,regular-sensitivity,50,0.0003,confirmatory,target_b,weak,forward_cycle,"[0.6978048300341113,0.09057515801026235,0.21162001195562632]",0.09057515801026235,2.401575297678506,267.3030084087437,2.376183737755886e-05,2.4057270756786932e-05,-2.9543337922807275e-07,264.0204153062096,-3.2825931025341424,-0.012280419596006183,-10941.977008447142,True
T02,target,regular-sensitivity,50,0.001,confirmatory,target_b,weak,forward_cycle,"[0.6978048300341113,0.09057515801026235,0.21162001195562632]",0.09057515801026235,2.401575297678506,267.3030084087437,0.0002566524600882906,0.0002673030084087437,-1.0650548320453076e-05,256.65246008829064,-10.650548320453076,-0.039844476064283194,-10650.548320453076,True
T02,target,regular-sensitivity,50,0.003,extended-local,target_b,weak,forward_cycle,"[0.6978048300341113,0.09057515801026235,0.21162001195562632]",0.09057515801026235,2.401575297678506,267.3030084087437,0.0021381930458986044,0.0024057270756786936,-0.00026753402978008925,237.57700509984494,-29.726003308898804,-0.1112071408618177,-9908.667769632935,True
T02,target,regular-sensitivity,50,0.01,extended-local,target_b,weak,forward_cycle,"[0.6978048300341113,0.09057515801026235,0.21162001195562632]",0.09057515801026235,2.401575297678506,267.3030084087437,0.018706286527420783,0.026730300840874372,-0.008024014313453589,187.0628652742078,-80.24014313453588,-0.3001842127112819,-8024.014313453587,True
T02,target,regular-sensitivity,50,0.03,stress,target_b,weak,forward_cycle,"[0.6978048300341113,0.09057515801026235,0.21162001195562632]",0.09057515801026235,2.401575297678506,267.3030084087437,0.09814643889613127,0.24057270756786933,-0.14242626867173808,109.05159877347918,-158.25140963526454,-0.5920300357909777,-5275.046987842152,True
T02,target,regular-sensitivity,50,0.1,stress,target_b,weak,forward_cycle,"[0.6978048300341113,0.09057515801026235,0.21162001195562632]",0.09057515801026235,2.401575297678506,267.3030084087437,0.29830232251776295,2.6730300840874377,-2.374727761569675,29.83023225177629,-237.47277615696746,-0.8884029310805149,-2374.7277615696744,True
T03,target,regular-sensitivity,1,0.0001,confirmatory,target_c,tie_ab,uniform_off_diagonal,"[0.10148484224827074,0.6089090534896243,0.2896061042621049]",0.10148484224827074,2.2878458291077037,0.7436169429954025,7.4355199993099e-09,7.436169429954025e-09,-6.49430644124444e-13,0.74355199993099,-6.494306441244439e-05,-8.733403000588425e-05,-0.6494306441244438,True
T03,target,regular-sensitivity,1,0.0003,confirmatory,target_c,tie_ab,uniform_off_diagonal,"[0.10148484224827074,0.6089090534896243,0.2896061042621049]",0.10148484224827074,2.2878458291077037,0.7436169429954025,6.690799861331512e-08,6.692552486958621e-08,-1.752625627109702e-11,0.7434222068146125,-0.00019473618078996691,-0.00026187700888785544,-0.6491206026332231,True
T03,target,regular-sensitivity,1,0.001,confirmatory,target_c,tie_ab,uniform_off_diagonal,"[0.10148484224827074,0.6089090534896243,0.2896061042621049]",0.10148484224827074,2.2878458291077037,0.7436169429954025,7.429686423897689e-07,7.436169429954024e-07,-6.483006056335567e-10,0.7429686423897689,-0.0006483006056335567,-0.0008718206487094055,-0.6483006056335566,True
T03,target,regular-sensitivity,1,0.003,extended-local,target_c,tie_ab,uniform_off_diagonal,"[0.10148484224827074,0.6089090534896243,0.2896061042621049]",0.10148484224827074,2.2878458291077037,0.7436169429954025,6.675111421865589e-06,6.692552486958623e-06,-1.7441065093033256e-08,0.7416790468739544,-0.0019378961214481395,-0.002606040838233188,-0.6459653738160466,True
T03,target,regular-sensitivity,1,0.01,extended-local,target_c,tie_ab,uniform_off_diagonal,"[0.10148484224827074,0.6089090534896243,0.2896061042621049]",0.10148484224827074,2.2878458291077037,0.7436169429954025,7.37237560490229e-05,7.436169429954025e-05,-6.379382505173465e-07,0.737237560490229,-0.006379382505173464,-0.008578855774152131,-0.6379382505173463,True
T03,target,regular-sensitivity,1,0.03,stress,target_c,tie_ab,uniform_off_diagonal,"[0.10148484224827074,0.6089090534896243,0.2896061042621049]",0.10148484224827074,2.2878458291077037,0.7436169429954025,0.0006526184299092369,0.0006692552486958622,-1.66368187866253e-05,0.725131588788041,-0.018485354207361446,-0.024858704984450218,-0.6161784735787149,True
T03,target,regular-sensitivity,1,0.1,stress,target_c,tie_ab,uniform_off_diagonal,"[0.10148484224827074,0.6089090534896243,0.2896061042621049]",0.10148484224827074,2.2878458291077037,0.7436169429954025,0.006884880756858777,0.007436169429954027,-0.0005512886730952493,0.6884880756858776,-0.05512886730952492,-0.07413610976567778,-0.5512886730952492,True
T03,target,regular-sensitivity,5,0.0001,confirmatory,target_c,tie_ab,uniform_off_diagonal,"[0.1071076376741801,0.6426458260450806,0.2502465362807393]",0.1071076376741801,2.2339209905867117,18.87862631817733,1.8859704679846054e-07,1.8878626318177328e-07,-1.89216383312735e-10,18.859704679846054,-0.0189216383312735,-0.00100227834442884,-189.21638331273496,True
T03,target,regular-sensitivity,5,0.0003,confirmatory,target_c,tie_ab,uniform_off_diagonal,"[0.1071076376741801,0.6426458260450806,0.2502465362807393]",0.1071076376741801,2.2339209905867117,18.87862631817733,1.6939766829820611e-06,1.6990763686359593e-06,-5.099685653898194e-09,18.821963144245128,-0.05666317393220216,-0.003001445813758382,-188.87724644067387,True
T03,target,regular-sensitivity,5,0.001,confirmatory,target_c,tie_ab,uniform_off_diagonal,"[0.1071076376741801,0.6426458260450806,0.2502465362807393]",0.1071076376741801,2.2339209905867117,18.87862631817733,1.869092449544382e-05,1.887862631817733e-05,-1.8770182273350762e-07,18.690924495443824,-0.18770182273350763,-0.00994255723748176,-187.7018227335076,True
T03,target,regular-sensitivity,5,0.003,extended-local,target_c,tie_ab,uniform_off_diagonal,"[0.1071076376741801,0.6426458260450806,0.2502465362807393]",0.1071076376741801,2.2339209905867117,18.87862631817733,0.00016492780934229223,0.00016990763686359597,-4.9798275213037404e-06,18.32531214914358,-0.553314169033749,-0.02930902702920652,-184.43805634458298,True
T03,target,regular-sensitivity,5,0.01,extended-local,target_c,tie_ab,uniform_off_diagonal,"[0.1071076376741801,0.6426458260450806,0.2502465362807393]",0.1071076376741801,2.2339209905867117,18.87862631817733,0.001713861721757584,0.001887862631817733,-0.0001740009100601491,17.13861721757584,-1.7400091006014908,-0.09216820499943468,-174.00091006014907,True
T03,target,regular-sensitivity,5,0.03,stress,target_c,tie_ab,uniform_off_diagonal,"[0.1071076376741801,0.6426458260450806,0.2502465362807393]",0.1071076376741801,2.2339209905867117,18.87862631817733,0.012928143415181914,0.016990763686359597,-0.004062620271177682,14.364603794646571,-4.514022523530758,-0.23910757315983425,-150.46741745102528,True
T03,target,regular-sensitivity,5,0.1,stress,target_c,tie_ab,uniform_off_diagonal,"[0.1071076376741801,0.6426458260450806,0.2502465362807393]",0.1071076376741801,2.2339209905867117,18.87862631817733,0.08506788912404892,0.18878626318177333,-0.10371837405772441,8.50678891240489,-10.371837405772439,-0.5493957680483295,-103.71837405772439,True
T03,target,regular-sensitivity,20,0.0001,confirmatory,target_c,tie_ab,uniform_off_diagonal,"[0.12340136122540173,0.7404081673524101,0.1361904714221882]",0.12340136122540173,2.0923131365716765,326.82425190344014,3.255272412797962e-06,3.2682425190344015e-06,-1.2970106236439404e-08,325.5272412797962,-1.2970106236439405,-0.0039685262525350805,-12970.106236439402,True
T03,target,regular-sensitivity,20,0.0003,confirmatory,target_c,tie_ab,uniform_off_diagonal,"[0.12340136122540173,0.7404081673524101,0.1361904714221882]",0.12340136122540173,2.0923131365716765,326.82425190344014,2.9066357084145465e-05,2.9414182671309607e-05,-3.478255871641423e-07,322.9595231571719,-3.8647287462682485,-0.011825097812539561,-12882.429154227497,True
T03,target,regular-sensitivity,20,0.001,confirmatory,target_c,tie_ab,uniform_off_diagonal,"[0.12340136122540173,0.7404081673524101,0.1361904714221882]",0.12340136122540173,2.0923131365716765,326.82425190344014,0.00031423823213315395,0.00032682425190344014,-1.2586019770286189e-05,314.238232133154,-12.586019770286189,-0.0385100545537383,-12586.019770286188,True
