landscape_id,split,stratum,horizon,log_horizon,C_endpoint_l1,C_max_path_l1,p0_id,reward_id,mutation_id,clean_terminal,clean_boundary_min_probability,clean_boundary_pressure,selection_log_factor_spread_per_step,inferred_initial_boundary_min_probability,clean_log_odds_linear_max_abs_error
T01,target,regular-sensitivity,20,2.995732273553991,2.668202301435618,2.668202301435618,target_a,dominant_a,asymmetric_a,"[0.615066217443981,0.30169362180896603,0.08324016074705301]",0.08324016074705301,2.486025346331069,0.10000000000000009,0.29999999999999993,4.440892098500626e-16
T01,target,regular-sensitivity,50,3.912023005428146,7.907868140669987,7.907868140669987,target_a,dominant_a,asymmetric_a,"[0.8959091438822425,0.09805426779028298,0.006036588327474562]",0.006036588327474562,5.109916273065872,0.10000000000000009,0.29999999999999993,4.440892098500626e-16
T02,target,regular-sensitivity,1,0.0,0.25112424316991555,0.25112424316991555,target_b,weak,forward_cycle,"[0.6020975887574047,0.09984910241757357,0.2980533088250218]",0.09984910241757357,2.3040952084689437,0.009999999999999952,0.10000000000000002,3.3306690738754696e-16
T02,target,regular-sensitivity,5,1.6094379124341003,1.2631649029989296,1.2631649029989296,target_b,weak,forward_cycle,"[0.6104386110105052,0.09922780466722557,0.29033358432226913]",0.09922780466722557,2.3103370149808002,0.009999999999999952,0.10000000000000002,3.3306690738754696e-16
T02,target,regular-sensitivity,20,2.995732273553991,5.155208288707014,5.155208288707014,target_b,weak,forward_cycle,"[0.6409551306699698,0.09666003091871943,0.2623848384113107]",0.09666003091871943,2.3365552926943685,0.009999999999999952,0.10000000000000002,3.3306690738754696e-16
T02,target,regular-sensitivity,50,3.912023005428146,13.271909901796777,13.271909901796777,target_b,weak,forward_cycle,"[0.6978048300341113,0.09057515801026235,0.21162001195562632]",0.09057515801026235,2.401575297678506,0.009999999999999952,0.10000000000000002,3.3306690738754696e-16
T03,target,regular-sensitivity,1,0.0,0.8267271604688728,0.8267271604688728,target_c,tie_ab,uniform_off_diagonal,"[0.10148484224827074,0.6089090534896243,0.2896061042621049]",0.10148484224827074,2.2878458291077037,0.049999999999999996,0.1,4.440892098500626e-16
T03,target,regular-sensitivity,5,1.6094379124341003,4.454411366732167,4.454411366732167,target_c,tie_ab,uniform_off_diagonal,"[0.1071076376741801,0.6426458260450806,0.2502465362807393]",0.1071076376741801,2.2339209905867117,0.049999999999999996,0.1,4.440892098500626e-16
T03,target,regular-sensitivity,20,2.995732273553991,20.80752190945781,20.80752190945781,target_c,tie_ab,uniform_off_diagonal,"[0.12340136122540173,0.7404081673524101,0.1361904714221882]",0.12340136122540173,2.0923131365716765,0.049999999999999996,0.1,4.440892098500626e-16
T03,target,regular-sensitivity,50,3.912023005428146,53.01064137200179,53.01064137200179,target_c,tie_ab,uniform_off_diagonal,"[0.1380023198976183,0.8280139193857092,0.03398376071667251]",0.03398376071667251,3.381872494445817,0.049999999999999996,0.1,4.440892098500626e-16
T04,target,regular-sensitivity,1,0.0,0.9377144447055981,0.9377144447055981,target_d,compressed,uniform_mix,"[0.8021905556861323,0.14817140517060456,0.049638039143263]",0.049638039143263,3.0029978209718076,0.01500000000000001,0.05,4.440892098500626e-16
T04,target,regular-sensitivity,5,1.6094379124341003,4.666060247739626,4.666060247739626,target_d,compressed,uniform_mix,"[0.8107645253260093,0.14103403262202488,0.048201442051965915]",0.048201442051965915,3.0323663402825405,0.01500000000000001,0.05,4.440892098500626e-16
T04,target,regular-sensitivity,20,2.995732273553991,18.212886220597927,18.212886220597927,target_d,compressed,uniform_mix,"[0.840283819057414,0.11671829319407849,0.042997887748507505]",0.042997887748507505,3.1466042866228383,0.01500000000000001,0.05,4.440892098500626e-16
T04,target,regular-sensitivity,50,3.912023005428146,42.31658878712781,42.31658878712781,target_d,compressed,uniform_mix,"[0.8877234895390679,0.0786245408513988,0.03365196960953334]",0.03365196960953334,3.3916836923745275,0.01500000000000001,0.05,4.440892098500626e-16
T05,target,regular-sensitivity,1,0.0,0.01665972598167903,0.01665972598167903,balanced,dominant_a,backward_cycle,"[0.35013186144895325,0.33305572906545156,0.3168124094855952]",0.3168124094855952,1.1494454484529983,0.10000000000000006,0.33333333333333326,7.632783294297951e-16
T05,target,regular-sensitivity,5,1.6094379124341003,0.2372775016895502,0.2372775016895502,balanced,dominant_a,backward_cycle,"[0.41922895160969775,0.32649583579983676,0.2542752125904655]",0.2542752125904655,1.3693380844056788,0.10000000000000006,0.33333333333333326,7.632783294297951e-16
T05,target,regular-sensitivity,20,2.995732273553991,2.245129387349434,2.245129387349434,balanced,dominant_a,backward_cycle,"[0.6652409557748219,0.24472847105479784,0.09003057317038031]",0.09003057317038031,2.407605964444382,0.10000000000000006,0.33333333333333326,7.632783294297951e-16
T05,target,regular-sensitivity,50,3.912023005428146,4.708319617758285,4.708319617758285,balanced,dominant_a,backward_cycle,"[0.9184229667642032,0.07538874796299677,0.006188285272800012]",0.006188285272800012,5.085097246364314,0.10000000000000006,0.33333333333333326,7.632783294297951e-16
T06,target,regular-sensitivity,1,0.0,0.3333333333333333,0.3333333333333333,mixed,neutral,uniform_mix,"[0.2,0.3,0.5]",0.2,1.6094379124341003,9.647139993304294e-18,0.2000000000000001,6.661338147750939e-16
T06,target,regular-sensitivity,5,1.6094379124341003,1.6666666666666665,1.6666666666666665,mixed,neutral,uniform_mix,"[0.2,0.3,0.5]",0.2,1.6094379124341003,9.647139993304294e-18,0.2000000000000001,6.661338147750939e-16
T06,target,regular-sensitivity,20,2.995732273553991,6.666666666666664,6.666666666666664,mixed,neutral,uniform_mix,"[0.2,0.3,0.5]",0.2,1.6094379124341003,9.647139993304294e-18,0.2000000000000001,6.661338147750939e-16
T06,target,regular-sensitivity,50,3.912023005428146,16.66666666666666,16.66666666666666,mixed,neutral,uniform_mix,"[0.2,0.3,0.5]",0.2,1.6094379124341003,9.647139993304294e-18,0.2000000000000001,6.661338147750939e-16
T07,target,regular-sensitivity,1,0.0,0.5269727267029053,0.5269727267029053,target_e,dominant_b,asymmetric_b,"[0.04689971371093986,0.8088393294407796,0.14426095684828052]",0.04689971371093986,3.059743707792887,0.075,0.049999999999999954,6.661338147750939e-16
T07,target,regular-sensitivity,5,1.6094379124341003,2.4907823459035083,2.4907823459035083,target_e,dominant_b,asymmetric_b,"[0.036128070840845565,0.8410565264023759,0.1228154027567786]",0.036128070840845565,3.32068513018738,0.075,0.049999999999999954,6.661338147750939e-16
T07,target,regular-sensitivity,20,2.995732273553991,7.701443790578784,7.701443790578784,target_e,dominant_b,asymmetric_b,"[0.012877771198871672,0.9234266629167607,0.06369556588436769]",0.012877771198871672,4.352252616845559,0.075,0.049999999999999954,6.661338147750939e-16
T07,target,regular-sensitivity,50,3.912023005428146,11.430959821312907,11.430959821312907,target_e,dominant_b,asymmetric_b,"[0.0014454870531591516,0.9834187762785519,0.015135736668288977]",0.0014454870531591516,6.539308953200249,0.075,0.049999999999999954,6.661338147750939e-16
T08,target,regular-sensitivity,1,0.0,0.7950445009252174,0.7950445009252174,target_f,weak,uniform_off_diagonal,"[0.1510904165069194,0.25056141651800806,0.5983481669750724]",0.1510904165069194,1.8898768365532723,0.00999999999999996,0.15000000000000005,4.440892098500626e-16
T08,target,regular-sensitivity,5,1.6094379124341003,3.943095573075518,3.943095573075518,target_f,weak,uniform_off_diagonal,"[0.15551049370710043,0.25278487656159115,0.5917046297313083]",0.15551049370710043,1.861042065992819,0.00999999999999996,0.15000000000000005,4.440892098500626e-16
T08,target,regular-sensitivity,20,2.995732273553991,15.23653145232657,15.23653145232657,target_f,weak,uniform_off_diagonal,"[0.17292106672119276,0.2607757525600465,0.5663031807187607]",0.17292106672119276,1.754920050330621,0.00999999999999996,0.15000000000000005,4.440892098500626e-16
T08,target,regular-sensitivity,50,3.912023005428146,34.78624193406296,34.78624193406296,target_f,weak,uniform_off_diagonal,"[0.21167945885004208,0.2747602138542399,0.513560327295718]",0.21167945885004208,1.5526821350716973,0.00999999999999996,0.15000000000000005,4.440892098500626e-16
